iteration,feature,train_split,model_params,mae,mse
5,[u'average_review_rating'],[    1     2     3 ... 12610 12611 12612],"[500, 0.5, None, 0.1]",11.263624933167957,207.69136734139937
6,[u'average_review_rating'],[    0     1     2 ... 12610 12611 12612],"[100, 0.5, 5, 0.0005]",11.455644372017762,230.11988088829483
7,[u'average_review_rating'],[    0     1     2 ... 12610 12611 12612],"[200, 0.5, 10, 0.1]",11.44111990119718,223.05385204539067
8,[u'average_review_rating'],[    0     2     3 ... 12608 12609 12610],"[100, 0.25, 5, 0.01]",11.21242849797265,230.58793656930592
9,[u'average_review_rating'],[    0     1     2 ... 12610 12611 12612],"[200, 0.5, 10, 0.1]",11.602347709060508,234.78065421759743
10,[u'average_review_rating'],[    0     1     2 ... 12609 12611 12612],"[100, 0.5, 5, 0.0005]",11.237740105165555,211.10494053546233
1,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.027309638652612,179.45622289652812
2,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.224566992100005,184.70640074017408
3,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     3 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.736506476013252,219.13757682031527
4,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",9.827927061065889,169.33096428218568
5,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    1     2     3 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.072826623277312,178.4187463469177
6,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.543930179236906,201.17214166910176
7,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.419729464623764,195.81111221977994
8,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     2     3 ... 12608 12609 12610],"[500, 0.5, None, 0.01]",10.328694108004148,207.48303736297578
9,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, None, 0.01]",10.475666413516086,198.8736148191421
10,"['inspection_average_prev_penalty_scores', 'inspection_prev_penalty_score']",[    0     1     2 ... 12609 12611 12612],"[500, 0.5, None, 0.01]",10.204916074002467,185.57988340115068
